ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec 
Charlotte NASCAR,National 400,USA,14/10/1962,NASCAR Grand National,Junior Johnson
Kyalami F1,Rand Spring Trophy,ZAF,10/10/1962,South African Drivers Championship,Gary Hocking
United States Grand Prix,United States Grand Prix,USA,07/10/1962,F1 World Championship,Jim Clark
North Wilkesboro NASCAR,Wilkes 320,USA,30/09/1962,NASCAR Grand National,Richard Petty
Trenton Indycars,Trenton 200,USA,23/09/1962,USAC National Championship,Don Branson
Martinsville NASCAR,Old Dominion 500,USA,23/09/1962,NASCAR Grand National,Nelson Stacy
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,16/09/1962,F1 World Championship,Graham Hill
Indiana State Fair Indycars,Hoosier 100,USA,15/09/1962,USAC National Championship,Parnelli Jones
Augusta NASCAR,,USA,13/09/1962,NASCAR Grand National,Fred Lorenzen
Moyock NASCAR,,USA,11/09/1962,NASCAR Grand National,Ned Jarrett
Richmond NASCAR,Capital City 300,USA,09/09/1962,NASCAR Grand National,Joe Weatherly
Syracuse Indycars,Syracuse 100,USA,08/09/1962,USAC National Championship,Rodger Ward
Hickory NASCAR,Buddy Shuman Memorial,USA,07/09/1962,NASCAR Grand National,Rex White
Darlington NASCAR,Southern 500,USA,03/09/1962,NASCAR Grand National,Larry Frank
Oulton Park Gold Cup,International Gold Cup,GBR,01/09/1962,Non-championship,Jim Clark
Langhorne Indycars,Langhorne 100,USA,26/08/1962,USAC National Championship,Don Branson
Danish Grand Prix,Grand Prix Danmark,DNK,25/08/1962,Non-championship,Jack Brabham
Valdosta NASCAR,,USA,25/08/1962,NASCAR Grand National,Ned Jarrett
Spartanburg NASCAR,,USA,21/08/1962,NASCAR Grand National,Richard Petty
Milwaukee Indycars,Tony Bettenhausen 200,USA,19/08/1962,USAC National Championship,Rodger Ward
Mediterranean Grand Prix,Gran Premio del Mediterraneo,ITA,19/08/1962,Non-championship,Lorenzo Bandini
Winston-Salem NASCAR,International 200,USA,18/08/1962,NASCAR Grand National,Richard Petty
Springfield Indycars,Tony Bettenhausen 100,USA,18/08/1962,USAC National Championship,Jim Hurtubise
Roanoke NASCAR,,USA,15/08/1962,NASCAR Grand National,Richard Petty
Kanonloppet,Kanonloppet,SWE,12/08/1962,Non-championship,Masten Gregory
Weaverville NASCAR,Western North Carolina 500,USA,12/08/1962,NASCAR Grand National,Jim Paschal
Huntsville NASCAR,,USA,08/08/1962,NASCAR Grand National,Richard Petty
German Grand Prix,Grosser Preis von Deutschland,DEU,05/08/1962,F1 World Championship,Graham Hill
Nashville NASCAR,Nashville 500,USA,05/08/1962,NASCAR Grand National,Jim Paschal
Kyalami F1,Rand Winter Trophy,ZAF,04/08/1962,South African Drivers Championship,Ernest Pieterse
Chattanooga NASCAR,Confederate 200,USA,03/08/1962,NASCAR Grand National,Joe Weatherly
Bristol NASCAR,Southeastern 500,USA,29/07/1962,NASCAR Grand National,Jim Paschal
Trenton Indycars,Trenton 150,USA,22/07/1962,USAC National Championship,Rodger Ward
Mozambique F1,Coupe Gouvernador Generale,MOZ,22/07/1962,Non-championship,Peter de Klerk
British Grand Prix,British Grand Prix,GBR,21/07/1962,F1 World Championship,Jim Clark
Myrtle Beach NASCAR,,USA,21/07/1962,NASCAR Grand National,Ned Jarrett
Savannah NASCAR,,USA,20/07/1962,NASCAR Grand National,Joe Weatherly
Augusta NASCAR,,USA,17/07/1962,NASCAR Grand National,Joe Weatherly
Solitude Grand Prix,Grosser Preis der Solitude,DEU,15/07/1962,Non-championship,Dan Gurney
Westmead F1,Westmead 120,ZAF,15/07/1962,South African Drivers Championship,Doug Serrurier
Greenville NASCAR,,USA,14/07/1962,NASCAR Grand National,Richard Petty
Asheville NASCAR,,USA,13/07/1962,NASCAR Grand National,Jack Smith
East London F1,Border 100,ZAF,09/07/1962,South African Drivers Championship,Ernest Pieterse
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,08/07/1962,F1 World Championship,Dan Gurney
Columbia NASCAR,,USA,07/07/1962,NASCAR Grand National,Rex White
Daytona NASCAR,Firecracker 250,USA,04/07/1962,NASCAR Grand National,Fireball Roberts
Langhorne Indycars,Langhorne 100,USA,01/07/1962,USAC National Championship,AJ Foyt jr
Reims Grand Prix,Grand Prix de Reims,FRA,01/07/1962,Non-championship,Bruce McLaren
Kyalami F1,South African Republic Festival Trophy,ZAF,30/06/1962,South African Drivers Championship,Ernest Pieterse
Pietermaritzburg F1,Royal Show Trophy,ZAF,24/06/1962,Non-championship,Neville Lederle
Le Mans 24 Hours,24 heures du Mans,FRA,23/06/1962,Olivier Gendebien,Phil Hill
South Boston NASCAR,,USA,23/06/1962,NASCAR Grand National,Rex White
Richmond NASCAR,,USA,22/06/1962,NASCAR Grand National,Jim Paschal
Augusta NASCAR,,USA,19/06/1962,NASCAR Grand National,Joe Weatherly
Belgian Grand Prix,Grand Prix de Belgique,BEL,17/06/1962,F1 World Championship,Jim Clark
Winston-Salem NASCAR,Myers Brothers Memorial,USA,16/06/1962,NASCAR Grand National,Johnny Allen
Mallory Park F1,International 2000 Guineas,GBR,11/06/1962,Non-championship,John Surtees
Crystal Palace F1,Crystal Palace Trophy,GBR,11/06/1962,Non-championship,Innes Ireland
Milwaukee Indycars,Rex Mays 100,USA,10/06/1962,USAC National Championship,AJ Foyt jr
Atlanta NASCAR,Atlanta 500,USA,10/06/1962,NASCAR Grand National,Fred Lorenzen
Monaco Grand Prix,Grand Prix de Monaco,MCO,03/06/1962,F1 World Championship,Bruce McLaren
Indianapolis 500,Indianapolis 500,USA,30/05/1962,USAC National Championship,Rodger Ward
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,27/05/1962,Olivier Gendebien,Phil Hill
World 600,World 600,USA,27/05/1962,NASCAR Grand National,Nelson Stacy
Dutch Grand Prix,Grote Prijs van Nederland,NLD,20/05/1962,F1 World Championship,Graham Hill
Naples Grand Prix,Gran Premio di Napoli,ITA,20/05/1962,Non-championship,Willy Mairesse
Spartanburg NASCAR,,USA,19/05/1962,NASCAR Grand National,Ned Jarrett
International Trophy,Daily Express International Trophy,GBR,12/05/1962,Non-championship,Graham Hill
Darlington NASCAR,Rebel 300,USA,12/05/1962,NASCAR Grand National,Nelson Stacy
Targa Florio,Targa Florio,ITA,06/05/1962,Willy Mairesse,Ricardo Rodriguez
Concord NASCAR,,USA,06/05/1962,NASCAR Grand National,Joe Weatherly
Hickory NASCAR,Hickory 250,USA,05/05/1962,NASCAR Grand National,Jack Smith
Richmond NASCAR,,USA,04/05/1962,NASCAR Grand National,Jim Pardue
Bristol NASCAR,Volunteer 500,USA,29/04/1962,NASCAR Grand National,Bobby Johns
Aintree F1,BARC 200,GBR,28/04/1962,Non-championship,Jim Clark
Goodwood F1,Lavant Cup,GBR,23/04/1962,Non-championship,Bruce McLaren
Pau Grand Prix,Grand Prix de Pau,FRA,23/04/1962,Non-championship,Maurice Trintignant
Winston-Salem NASCAR,,USA,23/04/1962,NASCAR Grand National,Rex White
Westmead F1,Coronation 100,ZAF,23/04/1962,South African Drivers Championship,Ernest Pieterse
Goodwood F1,Glover Trophy,GBR,23/04/1962,Non-championship,Graham Hill
Martinsville NASCAR,Virginia 500,USA,22/04/1962,NASCAR Grand National,Richard Petty
Myrtle Beach NASCAR,,USA,21/04/1962,NASCAR Grand National,Jack Smith
Greenville NASCAR,,USA,19/04/1962,NASCAR Grand National,Ned Jarrett
North Wilkesboro NASCAR,Gwyn Staley 400,USA,15/04/1962,NASCAR Grand National,Richard Petty
Snetterton F1,Lombank Trophy,GBR,14/04/1962,Non-championship,Jim Clark
Columbia NASCAR,Arclite 200,USA,13/04/1962,NASCAR Grand National,Ned Jarrett
Trenton Indycars,Trenton 100,USA,08/04/1962,USAC National Championship,AJ Foyt jr
Pietermaritzburg F1,Roy Hesketh 100,ZAF,07/04/1962,South African Drivers Championship,Ernest Pieterse
Brussels Grand Prix,Grand Prix de Bruxelles,BEL,01/04/1962,Non-championship,Willy Mairesse
Richmond NASCAR,Richmond 250,USA,01/04/1962,NASCAR Grand National,Rex White
Sebring 12 Hours,12 Hours of Sebring,USA,24/03/1962,Lucien Bianchi,Jo Bonnier
Hillsborough NASCAR,,USA,18/03/1962,NASCAR Grand National,Rex White
Savannah NASCAR,St Patrick&#039;s Day 200,USA,17/03/1962,NASCAR Grand National,Jack Smith
Kyalami F1,Rand Autumn Trophy,ZAF,17/03/1962,South African Drivers Championship,John Love
Weaverville NASCAR,,USA,04/03/1962,NASCAR Grand National,Joe Weatherly
Concord NASCAR,,USA,25/02/1962,NASCAR Grand National,Joe Weatherly
Daytona 500,Daytona 500,USA,18/02/1962,NASCAR Grand National,Fireball Roberts
Daytona NASCAR,,USA,16/02/1962,NASCAR Grand National,Fireball Roberts
Daytona NASCAR,,USA,16/02/1962,NASCAR Grand National,Joe Weatherly
Westmead Formule Libre,Pat Fairfield Trophy,ZAF,20/01/1962,Non-championship,Fanie Viljoen
New Zealand Grand Prix,New Zealand Grand Prix,NZL,06/01/1962,Non-championship,Stirling Moss
Cape Grand Prix,Cape Grand Prix,ZAF,02/01/1962,South African Drivers Championship,Trevor Taylor
South African Grand Prix,South African Grand Prix,ZAF,26/12/1961,South African Drivers Championship,Jim Clark
Natal Grand Prix,Natal Grand Prix,ZAF,17/12/1961,South African Drivers Championship,Jim Clark
Rand Grand Prix,Rand Grand Prix,ZAF,09/12/1961,South African Drivers Championship,Jim Clark
Phoenix Indycars,Bobby Ball 100,USA,19/11/1961,USAC National Championship,Parnelli Jones
Macau Grand Prix,Grande Premio de Macau,MAC,19/11/1961,Non-championship,Peter Heath
Weaverville NASCAR,,USA,12/11/1961,NASCAR Grand National,Rex White
Concord NASCAR,,USA,05/11/1961,NASCAR Grand National,Jack Smith
Kyalami F1,Rand Spring Trophy,ZAF,04/11/1961,South African Drivers Championship,Ernest Pieterse
Sacramento Indycars,Golden State 100,USA,29/10/1961,USAC National Championship,Rodger Ward
Hillsborough NASCAR,,USA,29/10/1961,NASCAR Grand National,Joe Weatherly
Greenville NASCAR,,USA,28/10/1961,NASCAR Grand National,Junior Johnson
Bristol NASCAR,Southeastern 500,USA,22/10/1961,NASCAR Grand National,Joe Weatherly
Charlotte NASCAR,National 400,USA,15/10/1961,NASCAR Grand National,Joe Weatherly
Vallelunga F1,Coppa Italia,ITA,10/10/1961,Non-championship,Giancarlo Baghetti
Australian Grand Prix,Australian Grand Prix,AUS,09/10/1961,Non-championship,Lex Davison
United States Grand Prix,United States Grand Prix,USA,08/10/1961,F1 World Championship,Innes Ireland
Brands Hatch F1,Lewis-Evans Trophy,GBR,01/10/1961,Non-championship,Tony Marsh
North Wilkesboro NASCAR,Wilkes 200,USA,01/10/1961,NASCAR Grand National,Rex White
Trenton Indycars,Trenton 100,USA,24/09/1961,USAC National Championship,Eddie Sachs
Martinsville NASCAR,Old Dominion 500,USA,24/09/1961,NASCAR Grand National,Joe Weatherly
Oulton Park Gold Cup,International Gold Cup,GBR,23/09/1961,Non-championship,Stirling Moss
Zeltweg F1,Flugplatzrennen,AUT,17/09/1961,Non-championship,Innes Ireland
Atlanta NASCAR,Dixie 400,USA,17/09/1961,NASCAR Grand National,David Pearson
Indiana State Fair Indycars,Hoosier 100,USA,16/09/1961,USAC National Championship,AJ Foyt jr
Italian Grand Prix,Gran Premio d&#039;Italia,ITA,10/09/1961,F1 World Championship,Phil Hill
Richmond NASCAR,,USA,10/09/1961,NASCAR Grand National,Joe Weatherly
Sacramento NASCAR,,USA,10/09/1961,NASCAR Grand National,Eddie Gray
Syracuse Indycars,Syracuse 100,USA,09/09/1961,USAC National Championship,Rodger Ward
Hickory NASCAR,Buddy Shuman Memorial,USA,08/09/1961,NASCAR Grand National,Rex White
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,04/09/1961,USAC National Championship,AJ Foyt jr
Darlington NASCAR,Southern 500,USA,04/09/1961,NASCAR Grand National,Nelson Stacy
Modena Grand Prix,Gran Premio di Modena,ITA,03/09/1961,Non-championship,Stirling Moss
South Boston NASCAR,,USA,27/08/1961,NASCAR Grand National,Junior Johnson
Danish Grand Prix,Grand Prix Danmark,DNK,26/08/1961,Non-championship,Stirling Moss
Springfield Indycars,Tony Bettenhausen 100,USA,21/08/1961,USAC National Championship,Jim Hurtubise
Milwaukee Indycars,Tony Bettenhausen 200,USA,20/08/1961,USAC National Championship,Lloyd Ruby
Kanonloppet,Kanonloppet,SWE,20/08/1961,Non-championship,Stirling Moss
Richmond NASCAR,,USA,18/08/1961,NASCAR Grand National,Junior Johnson
Pescara 4 Hours,4 ore di Pescara,ITA,15/08/1961,Lorenzo Bandini,Giorgio Scarlatti
Weaverville NASCAR,Western North Carolina 500,USA,13/08/1961,NASCAR Grand National,Junior Johnson
Grand Central F1,Rand Winter Trophy,ZAF,12/08/1961,South African Drivers Championship,Syd van der Vyver
Winston-Salem NASCAR,,USA,09/08/1961,NASCAR Grand National,Rex White
German Grand Prix,Grosser Preis von Deutschland und Europa,DEU,06/08/1961,F1 World Championship,Stirling Moss
Nashville NASCAR,Nashville 500,USA,06/08/1961,NASCAR Grand National,Jim Paschal
Rhodesian Grand Prix,Rhodesian Grand Prix,RHO,30/07/1961,Non-championship,Ernest Pieterse
Bristol NASCAR,Volunteer 500,USA,29/07/1961,Johnny Allen,Jack Smith
Solitude Grand Prix,Grosser Preis der Solitude,DEU,23/07/1961,Non-championship,Innes Ireland
Mozambique F1,Coupe Gouvernador Generale,MOZ,23/07/1961,Non-championship,Bruce Johnstone
Myrtle Beach NASCAR,,USA,22/07/1961,NASCAR Grand National,Joe Weatherly
Columbia NASCAR,,USA,20/07/1961,NASCAR Grand National,Cotton Owens
British Grand Prix,British Grand Prix,GBR,15/07/1961,F1 World Championship,Wolfgang von Trips
East London F1,Border 100,ZAF,10/07/1961,South African Drivers Championship,Syd van der Vyver
Atlanta NASCAR,Festival 250,USA,09/07/1961,NASCAR Grand National,Fred Lorenzen
Daytona NASCAR,Firecracker 250,USA,04/07/1961,NASCAR Grand National,David Pearson
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,02/07/1961,F1 World Championship,Giancarlo Baghetti
Pietermaritzburg F1,Royal Show Races,ZAF,25/06/1961,Non-championship,Jo Eckhoff
Roanoke NASCAR,,USA,24/06/1961,NASCAR Grand National,Junior Johnson
Hartsville NASCAR,,USA,23/06/1961,NASCAR Grand National,Buck Baker
Belgian Grand Prix,Grand Prix de Belgique,BEL,18/06/1961,F1 World Championship,Phil Hill
Langhorne Indycars,Langhorne 100,USA,18/06/1961,USAC National Championship,AJ Foyt jr
Norwood NASCAR,Yankee 500,USA,17/06/1961,NASCAR Grand National,Emanuel Zervakis
Le Mans 24 Hours,24 heures du Mans,FRA,10/06/1961,Olivier Gendebien,Phil Hill
Winston-Salem NASCAR,Myers Brothers Memorial,USA,10/06/1961,NASCAR Grand National,Rex White
Greenville NASCAR,,USA,08/06/1961,NASCAR Grand National,Jack Smith
Milwaukee Indycars,Rex Mays 100,USA,04/06/1961,USAC National Championship,Rodger Ward
Birmingham NASCAR,,USA,04/06/1961,NASCAR Grand National,Ned Jarrett
Brands Hatch F1,Silver City Trophy,GBR,03/06/1961,Non-championship,Stirling Moss
Grand Central F1,Rand Trophy,ZAF,03/06/1961,South African Drivers Championship,Syd van der Vyver
Spartanburg NASCAR,,USA,02/06/1961,NASCAR Grand National,Jim Paschal
Indianapolis 500,Indianapolis 500,USA,30/05/1961,USAC National Championship,AJ Foyt jr
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,28/05/1961,Lucky Casner,Masten Gregory
World 600,World 600,USA,28/05/1961,NASCAR Grand National,David Pearson
Los Angeles NASCAR,,USA,27/05/1961,NASCAR Grand National,Eddie Gray
Crystal Palace F1,London Trophy,GBR,22/05/1961,Non-championship,Roy Salvadori
Dutch Grand Prix,Grote Prijs van Nederland,NLD,22/05/1961,F1 World Championship,Wolfgang von Trips
Charlotte NASCAR,,USA,21/05/1961,NASCAR Grand National,Richard Petty
Charlotte NASCAR,,USA,21/05/1961,NASCAR Grand National,Joe Weatherly
Riverside NASCAR,,USA,21/05/1961,NASCAR Grand National,Lloyd Dane
Monaco Grand Prix,Grand Prix de Monaco,MCO,14/05/1961,F1 World Championship,Stirling Moss
Naples Grand Prix,Gran Premio di Napoli,ITA,14/05/1961,Non-championship,Giancarlo Baghetti
Darlington NASCAR,Rebel 300,USA,06/05/1961,NASCAR Grand National,Fred Lorenzen
Targa Florio,Targa Florio,ITA,30/04/1961,Olivier Gendebien,Wolfgang von Trips
Martinsville NASCAR,Virginia 500 Sweepstakes,USA,30/04/1961,NASCAR Grand National,Junior Johnson
Syracuse Grand Prix,Gran Premio di Siracusa,ITA,25/04/1961,Non-championship,Giancarlo Baghetti
Richmond NASCAR,,USA,23/04/1961,NASCAR Grand National,Richard Petty
Aintree F1,BARC 200,GBR,22/04/1961,Non-championship,Jack Brabham
Hickory NASCAR,,USA,22/04/1961,NASCAR Grand National,Junior Johnson
Columbia NASCAR,,USA,20/04/1961,NASCAR Grand National,Cotton Owens
Vienna Grand Prix,Grosser Preis von Wien,AUT,16/04/1961,Non-championship,Stirling Moss
North Wilkesboro NASCAR,,USA,16/04/1961,NASCAR Grand National,Rex White
Trenton Indycars,Trenton 100,USA,09/04/1961,USAC National Championship,Eddie Sachs
Brussels Grand Prix,Grand Prix de Bruxelles,BEL,09/04/1961,Non-championship,Jack Brabham
Martinsville NASCAR,Virginia 500,USA,09/04/1961,NASCAR Grand National,Fred Lorenzen
Goodwood F1,Glover Trophy,GBR,03/04/1961,Non-championship,John Surtees
Pau Grand Prix,Grand Prix de Pau,FRA,03/04/1961,Non-championship,Jim Clark
Winston-Salem NASCAR,,USA,03/04/1961,NASCAR Grand National,Rex White
Pietermaritzburg F1,Coronation 100,ZAF,03/04/1961,South African Drivers Championship,Bruce Johnstone
Hillsborough NASCAR,,USA,02/04/1961,NASCAR Grand National,Cotton Owens
Greenville NASCAR,,USA,01/04/1961,NASCAR Grand National,Emanuel Zervakis
Snetterton F1,Lombank Trophy,GBR,26/03/1961,Non-championship,Jack Brabham
Atlanta NASCAR,Atlanta 500,USA,26/03/1961,NASCAR Grand National,Bob Burdick
Sebring 12 Hours,12 Hours of Sebring,USA,25/03/1961,Olivier Gendebien,Phil Hill
Grand Central F1,Rand Autumn Trophy,ZAF,18/03/1961,South African Drivers Championship,Doug Serrurier
Hanford NASCAR,,USA,12/03/1961,NASCAR Grand National,Fireball Roberts
Weaverville NASCAR,,USA,05/03/1961,NASCAR Grand National,Rex White
Spartanburg NASCAR,,USA,04/03/1961,NASCAR Grand National,Cotton Owens
Killarney F1,Van Riebeeck Trophy,ZAF,04/03/1961,South African Drivers Championship,John Love
Daytona 500,Daytona 500,USA,26/02/1961,NASCAR Grand National,Marvin Panch
Daytona NASCAR,,USA,24/02/1961,NASCAR Grand National,Fireball Roberts
Daytona NASCAR,,USA,24/02/1961,NASCAR Grand National,Joe Weatherly
New Zealand Grand Prix,New Zealand Grand Prix,NZL,07/01/1961,Non-championship,Jack Brabham
Pietermaritzburg F1,Pat Fairfield Trophy,ZAF,02/01/1961,South African Drivers Championship,Bruce Johnstone
South African Grand Prix,South African Grand Prix,ZAF,27/12/1960,South African Drivers Championship,Stirling Moss
Cape Grand Prix,Cape Grand Prix,ZAF,17/12/1960,South African Drivers Championship,Stirling Moss
United States Grand Prix,United States Grand Prix,USA,20/11/1960,F1 World Championship,Stirling Moss
Phoenix Indycars,Bobby Ball 100,USA,20/11/1960,USAC National Championship,AJ Foyt jr
Jacksonville NASCAR,,USA,20/11/1960,NASCAR Grand National,Lee Petty
Macau Grand Prix,Grande Premio de Macau,MAC,06/11/1960,Non-championship,Martin Redfern
Charlotte NASCAR,,USA,06/11/1960,NASCAR Grand National,Joe Weatherly
Sacramento Indycars,Golden State 100,USA,30/10/1960,USAC National Championship,AJ Foyt jr
Atlanta NASCAR,Atlanta 500,USA,30/10/1960,NASCAR Grand National,Bobby Johns
Richmond NASCAR,,USA,23/10/1960,NASCAR Grand National,Speedy Thompson
Charlotte NASCAR,National 400,USA,16/10/1960,NASCAR Grand National,Speedy Thompson
North Wilkesboro NASCAR,Wilkes 200,USA,02/10/1960,NASCAR Grand National,Rex White
Trenton Indycars,Trenton 100,USA,25/09/1960,USAC National Championship,Eddie Sachs
Martinsville NASCAR,Old Dominion 500,USA,25/09/1960,NASCAR Grand National,Rex White
Oulton Park Gold Cup,International Gold Cup,GBR,24/09/1960,Non-championship,Stirling Moss
Hillsborough NASCAR,,USA,18/09/1960,NASCAR Grand National,Richard Petty
Indiana State Fair Indycars,Hoosier 100,USA,17/09/1960,USAC National Championship,AJ Foyt jr
Snetterton F1,Lombank Trophy,GBR,17/09/1960,Non-championship,Innes Ireland
Sumter NASCAR,,USA,15/09/1960,NASCAR Grand National,Ned Jarrett
Sacramento NASCAR,,USA,11/09/1960,NASCAR Grand National,Jim Cook
Syracuse Indycars,Syracuse 100,USA,10/09/1960,USAC National Championship,Bobby Grim
Hickory NASCAR,Buddy Shuman Memorial,USA,09/09/1960,NASCAR Grand National,Junior Johnson
Du Quoin Indycars,Ted Horn Memorial/Du Quoin 100,USA,05/09/1960,USAC National Championship,AJ Foyt jr
Darlington NASCAR,Southern 500,USA,05/09/1960,NASCAR Grand National,Buck Baker
Italian Grand Prix,Gran Premio d&#039;Italia e Europa,ITA,04/09/1960,F1 World Championship,Phil Hill
Milwaukee Indycars,Milwaukee 200,USA,28/08/1960,USAC National Championship,Len Sutton
Winston-Salem NASCAR,,USA,23/08/1960,NASCAR Grand National,Glen Wood
Springfield Indycars,Springfield 100,USA,20/08/1960,USAC National Championship,Jim Packard
South Boston NASCAR,,USA,20/08/1960,NASCAR Grand National,Junior Johnson
Columbia NASCAR,,USA,18/08/1960,NASCAR Grand National,Rex White
Spartanburg NASCAR,,USA,16/08/1960,NASCAR Grand National,Cotton Owens
Portuguese Grand Prix,Grande Premio de Portugal,PRT,14/08/1960,F1 World Championship,Jack Brabham
Weaverville NASCAR,Western North Carolina 500,USA,14/08/1960,NASCAR Grand National,Rex White
Nashville NASCAR,,USA,07/08/1960,NASCAR Grand National,Johnny Beauchamp
Birmingham NASCAR,,USA,03/08/1960,NASCAR Grand National,Ned Jarrett
Brands Hatch F1,Silver City Trophy,GBR,01/08/1960,Non-championship,Jack Brabham
Atlanta NASCAR,Dixie 300,USA,31/07/1960,NASCAR Grand National,Fireball Roberts
Myrtle Beach NASCAR,,USA,23/07/1960,NASCAR Grand National,Buck Baker
Montgomery NASCAR,Empire State 200,USA,17/07/1960,NASCAR Grand National,Rex White
British Grand Prix,British Grand Prix,GBR,16/07/1960,F1 World Championship,Jack Brabham
Pittsburgh NASCAR,Pittsburgh NASCAR,USA,10/07/1960,NASCAR Grand National,Lee Petty
Daytona NASCAR,Firecracker 250,USA,04/07/1960,NASCAR Grand National,Jack Smith
French Grand Prix,Grand Prix de l&#039;Automobile Club de France,FRA,03/07/1960,F1 World Championship,Jack Brabham
Winston-Salem NASCAR,,USA,26/06/1960,NASCAR Grand National,Glen Wood
Le Mans 24 Hours,24 heures du Mans,FRA,25/06/1960,Paul Frere,Olivier Gendebien
Belgian Grand Prix,Grand Prix de Belgique,BEL,19/06/1960,F1 World Championship,Jack Brabham
Langhorne Indycars,Langhorne 100,USA,19/06/1960,USAC National Championship,Jim Hurtubise
World 600,World 600,USA,19/06/1960,NASCAR Grand National,Joe Lee Johnson
Hanford NASCAR,California 250,USA,12/06/1960,NASCAR Grand National,Marvin Porter
Australian Grand Prix,Australian Grand Prix,AUS,12/06/1960,Non-championship,Alec Mildren
Dutch Grand Prix,Grote Prijs van Nederland,NLD,06/06/1960,F1 World Championship,Jack Brabham
Milwaukee Indycars,Rex Mays 100,USA,05/06/1960,USAC National Championship,Rodger Ward
Richmond NASCAR,,USA,05/06/1960,NASCAR Grand National,Lee Petty
Indianapolis 500,Indianapolis 500,USA,30/05/1960,USAC National Championship,Jim Rathmann
Indianapolis 500,Indianapolis 500,USA,30/05/1960,F1 World Championship,Jim Rathmann
Monaco Grand Prix,Grand Prix de Monaco,MCO,29/05/1960,F1 World Championship,Stirling Moss
Hillsborough NASCAR,,USA,29/05/1960,NASCAR Grand National,Lee Petty
Spartanburg NASCAR,,USA,28/05/1960,Ned Jarrett,Jimmy Massey
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,22/05/1960,Dan Gurney,Stirling Moss
International Trophy,Daily Express International Trophy,GBR,14/05/1960,Non-championship,Innes Ireland
Darlington NASCAR,Rebel 300,USA,14/05/1960,NASCAR Grand National,Joe Weatherly
Targa Florio,Targa Florio,ITA,08/05/1960,Jo Bonnier,Hans Herrmann
Weaverville NASCAR,,USA,24/04/1960,NASCAR Grand National,Lee Petty
Greenville NASCAR,,USA,23/04/1960,NASCAR Grand National,Ned Jarrett
Winston-Salem NASCAR,,USA,18/04/1960,NASCAR Grand National,Glen Wood
Goodwood F1,Glover Trophy,GBR,18/04/1960,Non-championship,Innes Ireland
Wilson County NASCAR,,USA,17/04/1960,NASCAR Grand National,Joe Weatherly
Hickory NASCAR,,USA,16/04/1960,NASCAR Grand National,Joe Weatherly
Trenton Indycars,Trenton 100,USA,10/04/1960,USAC National Championship,Rodger Ward
Martinsville NASCAR,Virginia 500,USA,10/04/1960,NASCAR Grand National,Richard Petty
Columbia NASCAR,,USA,05/04/1960,NASCAR Grand National,Rex White
Phoenix NASCAR,Copper Cup Championship,USA,03/04/1960,NASCAR Grand National,John Rostek
North Wilkesboro NASCAR,,USA,27/03/1960,NASCAR Grand National,Lee Petty
Sebring 12 Hours,12 Hours of Sebring,USA,26/03/1960,Olivier Gendebien,Hans Herrmann
Charlotte NASCAR,,USA,28/02/1960,NASCAR Grand National,Richard Petty
Daytona 500,Daytona 500,USA,14/02/1960,NASCAR Grand National,Junior Johnson
Buenos Aires Grand Prix,Gran Premio de la Ciudad de Buenos Aires,ARG,14/02/1960,Non-championship,Maurice Trintignant
Daytona NASCAR,Daytona 500 Qualifying race,USA,12/02/1960,NASCAR Grand National,Fireball Roberts
Daytona NASCAR,Daytona 500 Qualifying race,USA,12/02/1960,NASCAR Grand National,Jack Smith
Argentine Grand Prix,Gran Premio de la Republica Argentina,ARG,07/02/1960,F1 World Championship,Bruce McLaren
Buenos Aires 1000Kms,1000 km de la Ciudad de Buenos Aires,ARG,31/01/1960,Cliff Allison,Phil Hill
New Zealand Grand Prix,New Zealand Grand Prix,NZL,09/01/1960,Non-championship,Jack Brabham
South African Grand Prix,South African Grand Prix,ZAF,01/01/1960,Non-championship,Paul Frere
United States Grand Prix,United States Grand Prix,USA,12/12/1959,F1 World Championship,Bruce McLaren
Columbia NASCAR,,USA,26/11/1959,NASCAR Grand National,Ned Jarrett
Macau Grand Prix,Grande Premio de Macau,MAC,15/11/1959,Non-championship,Ron Hardwick
Charlotte NASCAR,,USA,08/11/1959,NASCAR Grand National,Jack Smith
Sacramento Indycars,Golden State 100,USA,25/10/1959,USAC National Championship,Jim Hurtubise
Concord NASCAR,Lee Kirby Memorial,USA,25/10/1959,NASCAR Grand National,Jack Smith
Phoenix Indycars,Bobby Ball 100,USA,18/10/1959,USAC National Championship,Tony Bettenhausen
North Wilkesboro NASCAR,,USA,18/10/1959,NASCAR Grand National,Lee Petty
Weaverville NASCAR,,USA,11/10/1959,NASCAR Grand National,Lee Petty
Snetterton F1,Silver City Trophy,GBR,10/10/1959,Non-championship,Ron Flockhart
Trenton Indycars,Trenton 100,USA,27/09/1959,USAC National Championship,Eddie Sachs
Martinsville NASCAR,Virginia Sweepstakes 500,USA,27/09/1959,NASCAR Grand National,Rex White
